"URDP05LC.Code.or.Value","URDP05LC.Value.Description","URDP05LC.Count","URDP05LC.Cumulative","URDP05LC.Skip.to.Item"
"0","At or above the detection limit",2409,2409,NA
"1","Below lower detection limit",82,2491,NA
".","Missing",103,2594,NA
