"DR2TSFAT.Code.or.Value","DR2TSFAT.Value.Description","DR2TSFAT.Count","DR2TSFAT.Cumulative","DR2TSFAT.Skip.to.Item"
"0 to 156.65","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
