"SXD630.Code.or.Value","SXD630.Value.Description","SXD630.Count","SXD630.Cumulative","SXD630.Skip.to.Item"
"0 to 13514","Range of Values",1063,1063,NA
"77777","Refused",2,1065,NA
"99999","Don't know",5,1070,NA
".","Missing",4232,5302,NA
