"DEQ6ELPO.Code.or.Value","DEQ6ELPO.Value.Description","DEQ6ELPO.Count","DEQ6ELPO.Cumulative","DEQ6ELPO.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
