"DXASPND0.Code.or.Value","DXASPND0.Value.Description","DXASPND0.Count","DXASPND0.Cumulative","DXASPND0.Skip.to.Item"
"34.1941 to 50.3385","Range of Values",3344,3344,NA
".","Missing",364,3708,NA
