"LBXVTO.Code.or.Value","LBXVTO.Value.Description","LBXVTO.Count","LBXVTO.Cumulative","LBXVTO.Skip.to.Item"
"0.018 to 11.5","Range of Values",3078,3078,NA
".","Missing",316,3394,NA
