"AUXRR257.Code.or.Value","AUXRR257.Value.Description","AUXRR257.Count","AUXRR257.Cumulative","AUXRR257.Skip.to.Item"
"-4 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
