"PFQ061C.Code.or.Value","PFQ061C.Value.Description","PFQ061C.Count","PFQ061C.Cumulative","PFQ061C.Skip.to.Item"
"1","No difficulty",1838,1838,NA
"2","Some difficulty",306,2144,NA
"3","Much difficulty",77,2221,NA
"4","Unable to do",53,2274,NA
"5","Do not do this activity",12,2286,NA
"7","Refused",0,2286,NA
"9","Don't know",2,2288,NA
".","Missing",7378,9666,NA
