"MCQ240Z.Code.or.Value","MCQ240Z.Value.Description","MCQ240Z.Count","MCQ240Z.Cumulative","MCQ240Z.Skip.to.Item"
"32 to 76","Range of Values",6,6,NA
"80","80 years or older",0,6,NA
"77777","Refused",0,6,NA
"99999","Don't know",0,6,NA
".","Missing",9660,9666,NA
