"AUXU4KL.Code.or.Value","AUXU4KL.Value.Description","AUXU4KL.Count","AUXU4KL.Cumulative","AUXU4KL.Skip.to.Item"
"-10 to 75","Range of Values",1139,1139,NA
"666","No response",0,1139,NA
"888","Could not obtain",4,1143,NA
".","Missing",67,1210,NA
