"WTSA2YR.Code.or.Value","WTSA2YR.Value.Description","WTSA2YR.Count","WTSA2YR.Cumulative","WTSA2YR.Skip.to.Item"
"16357.767797 to 708844.24678","Range of Values",2644,2644,NA
"0","No Lab Result",48,2692,NA
".","Missing",0,2692,NA
