"DR1TS080.Code.or.Value","DR1TS080.Value.Description","DR1TS080.Count","DR1TS080.Cumulative","DR1TS080.Skip.to.Item"
"0 to 17.863","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
