"URDUIOLC.Code.or.Value","URDUIOLC.Value.Description","URDUIOLC.Count","URDUIOLC.Cumulative","URDUIOLC.Skip.to.Item"
"0","At or above detection limit",3079,3079,NA
"1","Below lower detection limit",0,3079,NA
".","Missing",200,3279,NA
