"CBQ738cd.Code.or.Value","CBQ738cd.Value.Description","CBQ738cd.Count","CBQ738cd.Cumulative","CBQ738cd.Skip.to.Item"
"91","Others",28,28,NA
".","Missing",2017,2045,NA
