"BIXC093K.Code.or.Value","BIXC093K.Value.Description","BIXC093K.Count","BIXC093K.Cumulative","BIXC093K.Skip.to.Item"
"34.01 to 140.14","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
