"CIQP58.Code.or.Value","CIQP58.Value.Description","CIQP58.Count","CIQP58.Cumulative","CIQP58.Skip.to.Item"
"1","Yes",21,21,"CIQPPHA"
"2","No",31,52,""
".","Missing",726,778,""
