"BAQ110.Code.or.Value","BAQ110.Value.Description","BAQ110.Count","BAQ110.Cumulative","BAQ110.Skip.to.Item"
"1","Yes",2755,2755,NA
"2","No",60,2815,NA
".","Missing",369,3184,NA
