"DRD350I.Code.or.Value","DRD350I.Value.Description","DRD350I.Count","DRD350I.Cumulative","DRD350I.Skip.to.Item"
"1","Yes",224,224,""
"2","No",3109,3333,"DRD350J"
".","Missing",5949,9282,""
