"RFXC063.Code.or.Value","RFXC063.Value.Description","RFXC063.Count","RFXC063.Cumulative","RFXC063.Skip.to.Item"
"-7.553 to 5.245","Range of Values",33699,33699,NA
".","Missing",22,33721,NA
