"DXXL3BMD.Code.or.Value","DXXL3BMD.Value.Description","DXXL3BMD.Count","DXXL3BMD.Cumulative","DXXL3BMD.Skip.to.Item"
"0.37 to 1.722","Range of Values",6176,6176,NA
".","Missing",1544,7720,NA
