"DXXIMY.Code.or.Value","DXXIMY.Value.Description","DXXIMY.Count","DXXIMY.Cumulative","DXXIMY.Skip.to.Item"
"130.1 to 407.3","Range of Values",3300,3300,NA
".","Missing",408,3708,NA
