"LBXSCLSI.Code.or.Value","LBXSCLSI.Value.Description","LBXSCLSI.Count","LBXSCLSI.Cumulative","LBXSCLSI.Skip.to.Item"
"86 to 114","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
