"DED125.Code.or.Value","DED125.Value.Description","DED125.Count","DED125.Cumulative","DED125.Skip.to.Item"
"15 to 480","Range of Values",2945,2945,NA
"0","No time spent outdoors",405,3350,NA
"14","1-14 minutes",42,3392,NA
"3333","At work or at school 9 to 5 seven days a week",7,3399,NA
"7777","Refused",1,3400,NA
"9999","Don't Know",14,3414,NA
".","Missing",5,3419,NA
