"BIXC100K.Code.or.Value","BIXC100K.Value.Description","BIXC100K.Count","BIXC100K.Cumulative","BIXC100K.Skip.to.Item"
"23.94 to 131.97","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
