"CBQ535.Code.or.Value","CBQ535.Value.Description","CBQ535.Count","CBQ535.Cumulative","CBQ535.Skip.to.Item"
"1","Yes",726,726,""
"2","No",3411,4137,"CBQ545"
"7","Refused",0,4137,"CBQ545"
"9","Don't know",27,4164,"CBQ545"
".","Missing",1858,6022,""
