"PHAANTMN.Code.or.Value","PHAANTMN.Value.Description","PHAANTMN.Count","PHAANTMN.Cumulative","PHAANTMN.Skip.to.Item"
"9 to 30","Range of Values",5,5,NA
".","Missing",9302,9307,NA
