"WHD080F.Code.or.Value","WHD080F.Value.Description","WHD080F.Count","WHD080F.Cumulative","WHD080F.Skip.to.Item"
"15","Ate 'diet' foods or products",273,273,NA
".","Missing",6273,6546,NA
