"URX2MH.Code.or.Value","URX2MH.Value.Description","URX2MH.Count","URX2MH.Cumulative","URX2MH.Skip.to.Item"
"3.54 to 1490","Range of Values",2370,2370,NA
".","Missing",385,2755,NA
