"DXXPT91Y.Code.or.Value","DXXPT91Y.Value.Description","DXXPT91Y.Count","DXXPT91Y.Cumulative","DXXPT91Y.Skip.to.Item"
"140.1 to 368.9","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
