"LB2BEC.Code.or.Value","LB2BEC.Value.Description","LB2BEC.Count","LB2BEC.Cumulative","LB2BEC.Skip.to.Item"
"0.6 to 111.7","Range of Values",545,545,NA
".","Missing",6,551,NA
