"RFXT085.Code.or.Value","RFXT085.Value.Description","RFXT085.Count","RFXT085.Cumulative","RFXT085.Skip.to.Item"
"734 to 743","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
