"HSQ500.Code.or.Value","HSQ500.Value.Description","HSQ500.Count","HSQ500.Cumulative","HSQ500.Skip.to.Item"
"1","Yes",2309,2309,NA
"2","No",7097,9406,NA
"7","Refused",1,9407,NA
"9","Don't know",11,9418,NA
".","Missing",964,10382,NA
