"DXXPT58X.Code.or.Value","DXXPT58X.Value.Description","DXXPT58X.Count","DXXPT58X.Cumulative","DXXPT58X.Skip.to.Item"
"205.3 to 847.6","Range of Values",3301,3301,NA
".","Missing",407,3708,NA
