"URXMB2.Code.or.Value","URXMB2.Value.Description","URXMB2.Count","URXMB2.Cumulative","URXMB2.Skip.to.Item"
"0.495 to 94.9","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
