"WTSAU11.Code.or.Value","WTSAU11.Value.Description","WTSAU11.Count","WTSAU11.Cumulative","WTSAU11.Skip.to.Item"
"0 to 486435.06392","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
