"URXANBT.Code.or.Value","URXANBT.Value.Description","URXANBT.Count","URXANBT.Cumulative","URXANBT.Skip.to.Item"
"0.36 to 76.2","Range of Values",553,553,NA
".","Missing",2726,3279,NA
