"SSII4UO1.Code.or.Value","SSII4UO1.Value.Description","SSII4UO1.Count","SSII4UO1.Cumulative","SSII4UO1.Skip.to.Item"
"0 to 3.5","Range of Values",939,939,NA
".","Missing",7,946,NA
