"BAQ130.Code.or.Value","BAQ130.Value.Description","BAQ130.Count","BAQ130.Cumulative","BAQ130.Skip.to.Item"
"1","Yes",131,131,NA
"2","No",2503,2634,NA
".","Missing",452,3086,NA
