"AUDTYL72.Code.or.Value","AUDTYL72.Value.Description","AUDTYL72.Count","AUDTYL72.Cumulative","AUDTYL72.Skip.to.Item"
"0 to 1.19","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
