"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"86.5 to 272.1","Range of Values",3110,3110,NA
".","Missing",598,3708,NA
