"WTSAF4YR.Code.or.Value","WTSAF4YR.Value.Description","WTSAF4YR.Count","WTSAF4YR.Cumulative","WTSAF4YR.Skip.to.Item"
"0 to 263680.65678","Range of Values",3666,3666,NA
".","Missing",0,3666,NA
