"RFXC086.Code.or.Value","RFXC086.Value.Description","RFXC086.Count","RFXC086.Cumulative","RFXC086.Skip.to.Item"
"-7.428 to 5.109","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
