"AUXLR256.Code.or.Value","AUXLR256.Value.Description","AUXLR256.Count","AUXLR256.Cumulative","AUXLR256.Skip.to.Item"
"-29 to 41","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
