"DR1IS120.Code.or.Value","DR1IS120.Value.Description","DR1IS120.Count","DR1IS120.Cumulative","DR1IS120.Skip.to.Item"
"0 to 21.126","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
