"MCQ160M.Code.or.Value","MCQ160M.Value.Description","MCQ160M.Count","MCQ160M.Cumulative","MCQ160M.Skip.to.Item"
"1","Yes",498,498,"MCQ170M"
"2","No",4529,5027,""
"7","Refused",0,5027,""
"9","Don't know",13,5040,""
".","Missing",4605,9645,""
