"SSKLOTH.Code.or.Value","SSKLOTH.Value.Description","SSKLOTH.Count","SSKLOTH.Cumulative","SSKLOTH.Skip.to.Item"
"156.6 to 3341","Range of Values",3006,3006,NA
".","Missing",0,3006,NA
