"WTSCI10.Code.or.Value","WTSCI10.Value.Description","WTSCI10.Count","WTSCI10.Cumulative","WTSCI10.Skip.to.Item"
"0 to 466134.25216","Range of Values",727,727,NA
".","Missing",51,778,NA
