"DR1IATOA.Code.or.Value","DR1IATOA.Value.Description","DR1IATOA.Count","DR1IATOA.Cumulative","DR1IATOA.Skip.to.Item"
"0 to 51.87","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
