"RFXT008.Code.or.Value","RFXT008.Value.Description","RFXT008.Count","RFXT008.Cumulative","RFXT008.Skip.to.Item"
"53 to 62","Range of Values",33721,33721,NA
".","Missing",0,33721,NA
