"WBXP099.Code.or.Value","WBXP099.Value.Description","WBXP099.Count","WBXP099.Cumulative","WBXP099.Skip.to.Item"
"-173.9772 to 143.5549","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
