"GTDDR2MN.Code.or.Value","GTDDR2MN.Value.Description","GTDDR2MN.Count","GTDDR2MN.Cumulative","GTDDR2MN.Skip.to.Item"
"65 to 135","Range of Values",2346,2346,NA
".","Missing",563,2909,NA
