"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 14.225","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
