"DID310S.Code.or.Value","DID310S.Value.Description","DID310S.Count","DID310S.Cumulative","DID310S.Skip.to.Item"
"70 to 180","Range of Values",209,209,NA
"6666","Provider did not specify goal",390,599,NA
"7777","Refused",1,600,NA
"9999","Don't know",132,732,NA
".","Missing",9038,9770,NA
