"WTSPH11.Code.or.Value","WTSPH11.Value.Description","WTSPH11.Count","WTSPH11.Cumulative","WTSPH11.Skip.to.Item"
"0.0000000 to 784645.3988500","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
