"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","At or above the detection limit",237,237,NA
"1","Below lower detection limit",10,247,NA
".","Missing",17,264,NA
