"DR1ICRYP.Code.or.Value","DR1ICRYP.Value.Description","DR1ICRYP.Count","DR1ICRYP.Cumulative","DR1ICRYP.Skip.to.Item"
"0 to 7293","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
