"DSQTNIAC.Code.or.Value","DSQTNIAC.Value.Description","DSQTNIAC.Count","DSQTNIAC.Cumulative","DSQTNIAC.Skip.to.Item"
"0.058 to 2000","Range of Values",2026,2026,NA
".","Missing",7730,9756,NA
