"DS2ICARB.Code.or.Value","DS2ICARB.Value.Description","DS2ICARB.Count","DS2ICARB.Cumulative","DS2ICARB.Skip.to.Item"
"0 to 84","Range of Values",807,807,NA
".","Missing",4841,5648,NA
