"LBDF10LC.Code.or.Value","LBDF10LC.Value.Description","LBDF10LC.Count","LBDF10LC.Cumulative","LBDF10LC.Skip.to.Item"
"0","At or above the detection limit",153,153,NA
"1","Below lower detection limit",93,246,NA
".","Missing",1,247,NA
