"DR1IFIBE.Code.or.Value","DR1IFIBE.Value.Description","DR1IFIBE.Count","DR1IFIBE.Cumulative","DR1IFIBE.Skip.to.Item"
"0 to 56.8","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
