"DS1ILYCO.Code.or.Value","DS1ILYCO.Value.Description","DS1ILYCO.Count","DS1ILYCO.Cumulative","DS1ILYCO.Skip.to.Item"
"33 to 10000","Range of Values",471,471,NA
".","Missing",5223,5694,NA
