"AUDTYR56.Code.or.Value","AUDTYR56.Value.Description","AUDTYR56.Count","AUDTYR56.Cumulative","AUDTYR56.Skip.to.Item"
"0 to 5.16","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
