"DXXIPX.Code.or.Value","DXXIPX.Value.Description","DXXIPX.Count","DXXIPX.Cumulative","DXXIPX.Skip.to.Item"
"548.3 to 1136.4","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
