"DXXPT39X.Code.or.Value","DXXPT39X.Value.Description","DXXPT39X.Count","DXXPT39X.Cumulative","DXXPT39X.Skip.to.Item"
"457.8 to 1054.8","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
